dept_id,sale_date,wm_yr_wk,weekday,store_id,state_id,cat_id,event_name_1,event_type_1,event_name_2,event_type_2,snap_TX,total_units_sold,total_revenue,average_selling_price
FOODS_1,2014-05-24,11417,Saturday,TX_1,TX,FOODS,NULL,NULL,NULL,NULL,0,237,546.77,2.31
HOUSEHOLD_1,2014-05-24,11417,Saturday,TX_1,TX,HOUSEHOLD,NULL,NULL,NULL,NULL,0,722,2734.76,3.79
FOODS_1,2014-05-24,11417,Saturday,TX_2,TX,FOODS,NULL,NULL,NULL,NULL,0,268,640.23,2.39
HOUSEHOLD_1,2014-05-24,11417,Saturday,TX_2,TX,HOUSEHOLD,NULL,NULL,NULL,NULL,0,729,2542.86,3.49
FOODS_1,2014-05-24,11417,Saturday,TX_3,TX,FOODS,NULL,NULL,NULL,NULL,0,279,746.30,2.67
HOUSEHOLD_1,2014-05-24,11417,Saturday,TX_3,TX,HOUSEHOLD,NULL,NULL,NULL,NULL,0,748,2798.54,3.74
FOODS_1,2014-05-25,11417,Sunday,TX_1,TX,FOODS,NULL,NULL,NULL,NULL,0,206,497.37,2.41
HOUSEHOLD_1,2014-05-25,11417,Sunday,TX_1,TX,HOUSEHOLD,NULL,NULL,NULL,NULL,0,672,2444.54,3.64
FOODS_1,2014-05-25,11417,Sunday,TX_2,TX,FOODS,NULL,NULL,NULL,NULL,0,279,704.60,2.53
HOUSEHOLD_1,2014-05-25,11417,Sunday,TX_2,TX,HOUSEHOLD,NULL,NULL,NULL,NULL,0,566,2370.30,4.19
FOODS_1,2014-05-25,11417,Sunday,TX_3,TX,FOODS,NULL,NULL,NULL,NULL,0,194,523.60,2.70
HOUSEHOLD_1,2014-05-25,11417,Sunday,TX_3,TX,HOUSEHOLD,NULL,NULL,NULL,NULL,0,617,2340.33,3.79
FOODS_1,2014-05-26,11417,Monday,TX_1,TX,FOODS,MemorialDay,National,NULL,NULL,0,180,446.93,2.48
HOUSEHOLD_1,2014-05-26,11417,Monday,TX_1,TX,HOUSEHOLD,MemorialDay,National,NULL,NULL,0,511,1985.37,3.89
FOODS_1,2014-05-26,11417,Monday,TX_2,TX,FOODS,MemorialDay,National,NULL,NULL,0,288,677.82,2.35
HOUSEHOLD_1,2014-05-26,11417,Monday,TX_2,TX,HOUSEHOLD,MemorialDay,National,NULL,NULL,0,580,2332.56,4.02
FOODS_1,2014-05-26,11417,Monday,TX_3,TX,FOODS,MemorialDay,National,NULL,NULL,0,252,616.63,2.45
HOUSEHOLD_1,2014-05-26,11417,Monday,TX_3,TX,HOUSEHOLD,MemorialDay,National,NULL,NULL,0,546,2010.92,3.68
FOODS_1,2014-05-27,11417,Tuesday,TX_1,TX,FOODS,NULL,NULL,NULL,NULL,0,170,404.06,2.38
HOUSEHOLD_1,2014-05-27,11417,Tuesday,TX_1,TX,HOUSEHOLD,NULL,NULL,NULL,NULL,0,487,1825.80,3.75
FOODS_1,2014-05-27,11417,Tuesday,TX_2,TX,FOODS,NULL,NULL,NULL,NULL,0,217,576.10,2.65
HOUSEHOLD_1,2014-05-27,11417,Tuesday,TX_2,TX,HOUSEHOLD,NULL,NULL,NULL,NULL,0,535,2135.47,3.99
FOODS_1,2014-05-27,11417,Tuesday,TX_3,TX,FOODS,NULL,NULL,NULL,NULL,0,280,870.11,3.11
HOUSEHOLD_1,2014-05-27,11417,Tuesday,TX_3,TX,HOUSEHOLD,NULL,NULL,NULL,NULL,0,441,1705.29,3.87
FOODS_1,2014-05-28,11417,Wednesday,TX_1,TX,FOODS,NULL,NULL,NULL,NULL,0,196,449.42,2.29
HOUSEHOLD_1,2014-05-28,11417,Wednesday,TX_1,TX,HOUSEHOLD,NULL,NULL,NULL,NULL,0,514,1897.09,3.69
FOODS_1,2014-05-28,11417,Wednesday,TX_2,TX,FOODS,NULL,NULL,NULL,NULL,0,246,700.09,2.85
HOUSEHOLD_1,2014-05-28,11417,Wednesday,TX_2,TX,HOUSEHOLD,NULL,NULL,NULL,NULL,0,506,1760.58,3.48
FOODS_1,2014-05-28,11417,Wednesday,TX_3,TX,FOODS,NULL,NULL,NULL,NULL,0,283,902.34,3.19
HOUSEHOLD_1,2014-05-28,11417,Wednesday,TX_3,TX,HOUSEHOLD,NULL,NULL,NULL,NULL,0,516,1878.03,3.64
FOODS_1,2014-05-29,11417,Thursday,TX_1,TX,FOODS,NULL,NULL,NULL,NULL,0,150,382.79,2.55
HOUSEHOLD_1,2014-05-29,11417,Thursday,TX_1,TX,HOUSEHOLD,NULL,NULL,NULL,NULL,0,597,1939.32,3.25
FOODS_1,2014-05-29,11417,Thursday,TX_2,TX,FOODS,NULL,NULL,NULL,NULL,0,240,644.59,2.69
HOUSEHOLD_1,2014-05-29,11417,Thursday,TX_2,TX,HOUSEHOLD,NULL,NULL,NULL,NULL,0,555,1892.94,3.41
FOODS_1,2014-05-29,11417,Thursday,TX_3,TX,FOODS,NULL,NULL,NULL,NULL,0,226,603.94,2.67
HOUSEHOLD_1,2014-05-29,11417,Thursday,TX_3,TX,HOUSEHOLD,NULL,NULL,NULL,NULL,0,492,1817.47,3.69
FOODS_1,2014-05-30,11417,Friday,TX_1,TX,FOODS,NULL,NULL,NULL,NULL,0,193,476.77,2.47
HOUSEHOLD_1,2014-05-30,11417,Friday,TX_1,TX,HOUSEHOLD,NULL,NULL,NULL,NULL,0,646,2226.01,3.45
FOODS_1,2014-05-30,11417,Friday,TX_2,TX,FOODS,NULL,NULL,NULL,NULL,0,202,418.19,2.07
HOUSEHOLD_1,2014-05-30,11417,Friday,TX_2,TX,HOUSEHOLD,NULL,NULL,NULL,NULL,0,682,2257.07,3.31
FOODS_1,2014-05-30,11417,Friday,TX_3,TX,FOODS,NULL,NULL,NULL,NULL,0,227,747.09,3.29
HOUSEHOLD_1,2014-05-30,11417,Friday,TX_3,TX,HOUSEHOLD,NULL,NULL,NULL,NULL,0,646,2385.43,3.69
FOODS_1,2014-05-31,11418,Saturday,TX_1,TX,FOODS,NULL,NULL,NULL,NULL,0,182,437.04,2.40
HOUSEHOLD_1,2014-05-31,11418,Saturday,TX_1,TX,HOUSEHOLD,NULL,NULL,NULL,NULL,0,730,2695.48,3.69
FOODS_1,2014-05-31,11418,Saturday,TX_2,TX,FOODS,NULL,NULL,NULL,NULL,0,288,721.09,2.50
HOUSEHOLD_1,2014-05-31,11418,Saturday,TX_2,TX,HOUSEHOLD,NULL,NULL,NULL,NULL,0,827,2790.46,3.37
FOODS_1,2014-05-31,11418,Saturday,TX_3,TX,FOODS,NULL,NULL,NULL,NULL,0,268,608.35,2.27
HOUSEHOLD_1,2014-05-31,11418,Saturday,TX_3,TX,HOUSEHOLD,NULL,NULL,NULL,NULL,0,795,3025.32,3.81
FOODS_1,2014-06-01,11418,Sunday,TX_1,TX,FOODS,NULL,NULL,NULL,NULL,1,240,575.69,2.40
HOUSEHOLD_1,2014-06-01,11418,Sunday,TX_1,TX,HOUSEHOLD,NULL,NULL,NULL,NULL,1,790,2929.09,3.71
FOODS_1,2014-06-01,11418,Sunday,TX_2,TX,FOODS,NULL,NULL,NULL,NULL,1,322,715.36,2.22
HOUSEHOLD_1,2014-06-01,11418,Sunday,TX_2,TX,HOUSEHOLD,NULL,NULL,NULL,NULL,1,791,2910.07,3.68
FOODS_1,2014-06-01,11418,Sunday,TX_3,TX,FOODS,NULL,NULL,NULL,NULL,1,240,636.84,2.65
HOUSEHOLD_1,2014-06-01,11418,Sunday,TX_3,TX,HOUSEHOLD,NULL,NULL,NULL,NULL,1,807,3062.29,3.79
FOODS_1,2014-06-02,11418,Monday,TX_1,TX,FOODS,NULL,NULL,NULL,NULL,0,140,336.87,2.41
HOUSEHOLD_1,2014-06-02,11418,Monday,TX_1,TX,HOUSEHOLD,NULL,NULL,NULL,NULL,0,540,2082.92,3.86
FOODS_1,2014-06-02,11418,Monday,TX_2,TX,FOODS,NULL,NULL,NULL,NULL,0,274,682.35,2.49
HOUSEHOLD_1,2014-06-02,11418,Monday,TX_2,TX,HOUSEHOLD,NULL,NULL,NULL,NULL,0,631,2104.39,3.34
FOODS_1,2014-06-02,11418,Monday,TX_3,TX,FOODS,NULL,NULL,NULL,NULL,0,214,714.55,3.34
HOUSEHOLD_1,2014-06-02,11418,Monday,TX_3,TX,HOUSEHOLD,NULL,NULL,NULL,NULL,0,771,2722.35,3.53
FOODS_1,2014-06-03,11418,Tuesday,TX_1,TX,FOODS,NULL,NULL,NULL,NULL,1,183,445.02,2.43
HOUSEHOLD_1,2014-06-03,11418,Tuesday,TX_1,TX,HOUSEHOLD,NULL,NULL,NULL,NULL,1,636,2533.46,3.98
FOODS_1,2014-06-03,11418,Tuesday,TX_2,TX,FOODS,NULL,NULL,NULL,NULL,1,193,452.27,2.34
HOUSEHOLD_1,2014-06-03,11418,Tuesday,TX_2,TX,HOUSEHOLD,NULL,NULL,NULL,NULL,1,576,1890.31,3.28
FOODS_1,2014-06-03,11418,Tuesday,TX_3,TX,FOODS,NULL,NULL,NULL,NULL,1,301,1048.93,3.48
HOUSEHOLD_1,2014-06-03,11418,Tuesday,TX_3,TX,HOUSEHOLD,NULL,NULL,NULL,NULL,1,745,2599.79,3.49
FOODS_1,2014-06-04,11418,Wednesday,TX_1,TX,FOODS,NULL,NULL,NULL,NULL,0,142,328.95,2.32
HOUSEHOLD_1,2014-06-04,11418,Wednesday,TX_1,TX,HOUSEHOLD,NULL,NULL,NULL,NULL,0,523,1879.48,3.59
FOODS_1,2014-06-04,11418,Wednesday,TX_2,TX,FOODS,NULL,NULL,NULL,NULL,0,200,550.80,2.75
HOUSEHOLD_1,2014-06-04,11418,Wednesday,TX_2,TX,HOUSEHOLD,NULL,NULL,NULL,NULL,0,597,1991.10,3.34
FOODS_1,2014-06-04,11418,Wednesday,TX_3,TX,FOODS,NULL,NULL,NULL,NULL,0,214,578.54,2.70
HOUSEHOLD_1,2014-06-04,11418,Wednesday,TX_3,TX,HOUSEHOLD,NULL,NULL,NULL,NULL,0,545,1989.34,3.65
FOODS_1,2014-06-05,11418,Thursday,TX_1,TX,FOODS,NBAFinalsStart,Sporting,NULL,NULL,1,223,545.79,2.45
HOUSEHOLD_1,2014-06-05,11418,Thursday,TX_1,TX,HOUSEHOLD,NBAFinalsStart,Sporting,NULL,NULL,1,509,1811.69,3.56
FOODS_1,2014-06-05,11418,Thursday,TX_2,TX,FOODS,NBAFinalsStart,Sporting,NULL,NULL,1,278,797.43,2.87
HOUSEHOLD_1,2014-06-05,11418,Thursday,TX_2,TX,HOUSEHOLD,NBAFinalsStart,Sporting,NULL,NULL,1,916,2457.93,2.68
FOODS_1,2014-06-05,11418,Thursday,TX_3,TX,FOODS,NBAFinalsStart,Sporting,NULL,NULL,1,247,782.81,3.17
HOUSEHOLD_1,2014-06-05,11418,Thursday,TX_3,TX,HOUSEHOLD,NBAFinalsStart,Sporting,NULL,NULL,1,553,1929.46,3.49
FOODS_1,2014-06-06,11418,Friday,TX_1,TX,FOODS,NULL,NULL,NULL,NULL,1,174,421.43,2.42
HOUSEHOLD_1,2014-06-06,11418,Friday,TX_1,TX,HOUSEHOLD,NULL,NULL,NULL,NULL,1,583,2193.89,3.76
